label,hdate,hdate_end,hdate_birth,hdate_death,wikipedia_url
Robert Walpole,3 apr 1721,11 feb 1742,,,https://en.wikipedia.org/wiki/Robert_Walpole
Spencer Compton,16 feb 1742,2 jul 1743,,,"https://en.wikipedia.org/wiki/Spencer_Compton,_1st_Earl_of_Wilmington"
Henry Pelham,27 aug 1743,6 mar 1754,,,https://en.wikipedia.org/wiki/Henry_Pelham
Thomas Pelham-Holles,16 mar 1754,11 nov 1756,,,"https://en.wikipedia.org/wiki/Thomas_Pelham-Holles,_1st_Duke_of_Newcastle"
William Cavendish,16 nov 1756,29 jun 1757,,,"https://en.wikipedia.org/wiki/William_Cavendish,_4th_Duke_of_Devonshire"
Thomas Pelham-Holles,29 jun 1757,26 May 1762,,,"https://en.wikipedia.org/wiki/Thomas_Pelham-Holles,_1st_Duke_of_Newcastle"
John Stuart,26 May 1762,8 apr 1763,,,"https://en.wikipedia.org/wiki/John_Stuart,_3rd_Earl_of_Bute"
George Grenville,16 apr 1763,10 Jul 1765,,,https://en.wikipedia.org/wiki/George_Grenville
Charles Watson-Wentworth,13 Jul 1765,30 Jul 1766,,,"https://en.wikipedia.org/wiki/Charles_Watson-Wentworth,_2nd_Marquess_of_Rockingham"
William Pitt the Elder,30 Jul 1766,14 Oct 1768,,,"https://en.wikipedia.org/wiki/William_Pitt,_1st_Earl_of_Chatham"
Augustus FitzRoy,14 Oct 1768,28 Jan 1770,,,"https://en.wikipedia.org/wiki/Augustus_FitzRoy,_3rd_Duke_of_Grafton"
Frederick North,28 Jan 1770,27 Mar 1782,,,"https://en.wikipedia.org/wiki/Frederick_North,_Lord_North"
Charles Watson-Wentworth,27 Mar 1782,1 Jul 1782,,,"https://en.wikipedia.org/wiki/Charles_Watson-Wentworth,_2nd_Marquess_of_Rockingham"
William Petty,4 Jul 1782,26 Mar 1783,,,"https://en.wikipedia.org/wiki/William_Petty,_2nd_Earl_of_Shelburne"
William Cavendish-Bentinck,2 apr 1783,18 dec 1783,,,"https://en.wikipedia.org/wiki/William_Cavendish-Bentinck,_3rd_Duke_of_Portland"
William Pitt the Younger,19 dec 1783,14 Mar 1801,,,https://en.wikipedia.org/wiki/William_Pitt_the_Younger
Henry Addington,17 Mar 1801,10 May 1804,,,https://en.wikipedia.org/wiki/Henry_Addington
William Pitt the Younger,10 May 1804,23 Jan 1806,,,https://en.wikipedia.org/wiki/William_Pitt_the_Younger
William Grenville,11 Feb 1806,25 Mar 1807,,,"https://en.wikipedia.org/wiki/William_Grenville,_1st_Baron_Grenville"
William Cavendish-Bentinck,31 Mar 1807,4 Oct 1809,,,"https://en.wikipedia.org/wiki/William_Cavendish-Bentinck,_3rd_Duke_of_Portland"
Spencer Perceval,4 Oct 1809,11 May 1812,,,https://en.wikipedia.org/wiki/Spencer_Perceval
Robert Jenkinson,8 Jun 1812,9 Apr 1827,,,"https://en.wikipedia.org/wiki/Robert_Jenkinson,_2nd_Earl_of_Liverpool"
George Canning,12 Apr 1827,8 Aug 1827,,,https://en.wikipedia.org/wiki/George_Canning
Frederick John Robinson,31 Aug 1827,8 jan 1828,,,"https://en.wikipedia.org/wiki/F._J._Robinson,_1st_Viscount_Goderich"
Arthur Wellesley,22 jan 1828,16 nov 1830,,,"https://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
Charles Grey,22 nov 1830,9 jul 1834,,,"https://en.wikipedia.org/wiki/Charles_Grey,_2nd_Earl_Grey"
William Lamb,16 jul 1834,14 nov 1834,,,"https://en.wikipedia.org/wiki/William_Lamb,_2nd_Viscount_Melbourne"
Arthur Wellesley,17 nov 1834,9 dec 1834,,,"https://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
Robert Peel,10 dec 1834,8 apr 1835,,,https://en.wikipedia.org/wiki/Robert_Peel
William Lamb,18 apr 1835,30 aug 1841,,,"https://en.wikipedia.org/wiki/William_Lamb,_2nd_Viscount_Melbourne"
Robert Peel,30 aug 1841,29 jun 1846,,,https://en.wikipedia.org/wiki/Robert_Peel
John Russell,30 jun 1846,21 feb 1852,,,"https://en.wikipedia.org/wiki/John_Russell,_1st_Earl_Russell"
Edward Smith-Stanley,23 feb 1852,17 dec 1852,,,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby"
George Hamilton-Gordon,19 dec 1852,30 jan 1855,,,"https://en.wikipedia.org/wiki/George_Hamilton-Gordon,_4th_Earl_of_Aberdeen"
Henry John Temple,6 feb 1855,19 feb 1858,,,"https://en.wikipedia.org/wiki/Henry_John_Temple,_3rd_Viscount_Palmerston"
Edward Smith-Stanley,20 feb 1858,11 jun 1859,,,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby"
Henry John Temple,12 jun 1859,18 oct 1865,,,"https://en.wikipedia.org/wiki/Henry_John_Temple,_3rd_Viscount_Palmerston"
